steps	episodes	elapsed	mean	median	stdev	max	min	low_con_average_q1	low_con_average_q2	low_con_average_q_func1_loss	low_con_average_q_func2_loss	low_con_average_policy_loss	low_con_q1_recent_variance	low_con_q2_recent_variance	low_con_policy_gradients_variance	low_con_policy_gradients_mean	low_con_policy_n_updates	low_con_q_func_n_updates	high_con_average_q1	high_con_average_q2	high_con_average_q_func1_loss	high_con_average_q_func2_loss	high_con_average_policy_loss	high_con_q1_recent_variance	high_con_q2_recent_variance	high_con_policy_gradients_variance	high_con_policy_gradients_mean	high_con_policy_n_updates	high_con_q_func_n_updates	final_x	final_y	final_z	state_reached_diff	state_reached_direction_diff	subgoals_mag_diff	subgoals_direction_diff
140062	177	3972.1188571453094	-231.87846671882212	-218.37019738381935	87.21029532071235	-125.89184051166997	-365.99414577141505	-615.0279	-614.7485	18.26095320224762	17.754919295310973	606.6455487060547	64336.633	63875.938	0.0	0.0	68781	137563	-6.157715	-6.155196	0.00853609865065664	0.008391614109277724	6.044958248138427	7.2153597	7.2841516	0.0	0.0	6879	13759	-0.9424518841586427	0.9953988645627305	-0.10077663863112063	1.7309680347210237	0.02631486550653212	0.016228258558275754	0.9999560818091866
145067	182	4118.333211898804	-292.7467156608674	-167.79642761436162	284.3387338158953	-0.04160911408097943	-768.2883646083646	-627.3539	-627.8118	17.417835421562195	16.860211114883423	611.287275390625	82724.05	84179.984	0.0	0.0	71284	142568	-6.179301	-6.168859	0.009630380682647228	0.008510948219336569	6.227263612747192	6.3681273	6.403552	0.0	0.0	7129	14259	-0.9908214771785036	0.9227662485046735	-0.10659534899404755	1.7264385312425512	0.5925040029261156	0.0008889949700839526	0.9999999139659695
150073	188	4272.337347745895	-183.39576853839122	-178.85803867871388	93.41649584534332	-0.09525331121294797	-310.8389412335253	-654.10004	-654.2453	19.313974466323852	18.740794048309326	626.4300604248047	135967.53	137142.38	0.0	0.0	73787	147574	-6.429003	-6.440447	0.01446058313595131	0.01353727229172364	6.366425738334656	11.830563	11.708984	0.0	0.0	7380	14760	-0.45162263972441197	0.6416849346803168	-0.34435055409124127	1.1639379653504724	-0.03936018733677659	1.5804933476546759	0.5004469922421227
155079	194	4406.635511398315	-147.2726986004357	-174.40732046173827	132.19614492800446	-0.055074282544216736	-310.8389412335253	-640.5548	-641.765	17.833579607009888	17.73447392463684	637.2227758789063	80384.555	82619.03	0.0	0.0	76290	152580	-6.8715653	-6.8671594	0.011472712773829698	0.01182394593488425	6.542149567604065	12.830193	12.841525	0.0	0.0	7630	15260	-0.2200042452321821	0.7748016780432492	0.5897773133808233	1.666778318396841	-0.31725265389334584	0.0005164174094778771	0.9999999568336645
160982	202	4556.879412889481	-146.6531125938593	-171.45030908627595	137.59185366260158	-0.036020560980667186	-326.9739884280822	-662.67615	-662.4097	17.67038568019867	17.563666286468507	643.0708459472656	110620.44	111119.164	0.0	0.0	79241	158483	-6.904727	-6.8893576	0.011445717120077461	0.011776891539338976	6.801184420585632	8.886338	9.112986	0.0	0.0	7925	15851	-0.7935692793066418	-0.015969303894740272	-0.4914899439162238	0.8980651323144319	0.22499319001870008	1.5679470894398344	0.16745505703598354
165988	208	4686.178222894669	-106.01116527936199	-73.35935928052288	114.44935561802437	-0.05060978602554174	-279.83330927541107	-662.4957	-663.7055	18.05754554748535	17.555793685913088	656.7945202636719	113095.65	115577.54	0.0	0.0	81744	163489	-6.9851217	-6.9905567	0.009591258398722857	0.009302166195120663	7.010275225639344	9.29838	9.305975	0.0	0.0	8175	16351	-1.0838110985173932	-0.0260325209456842	-0.17539407482695224	0.9090914383405493	-0.45762734100090113	2.6516753499861383	-0.9574082435949819
170993	213	4844.989930868149	-236.90562930375543	-283.9573987945107	100.09829207294035	-51.48740004680898	-347.3787917513191	-674.09033	-674.51904	19.56919394493103	19.108878626823426	670.2755847167969	88569.234	87865.164	0.0	0.0	84247	168494	-7.368531	-7.362587	0.01449796850560233	0.012523568144533783	7.199149479866028	9.19444	9.307413	0.0	0.0	8426	16852	-0.8729097245004029	-1.0264169273064654	-0.22620808343614995	1.639323804057217	-0.2289339282456333	0.0014588445927365876	0.9999996247862168
175998	218	4998.975803613663	-185.46538198507278	-199.55215066259188	92.52726008583238	-0.07812285061799891	-307.3140622251146	-706.64124	-706.2889	20.022502059936524	19.63491858959198	684.2610192871093	126199.9	126033.64	0.0	0.0	86749	173499	-7.6174984	-7.621201	0.014154829801991582	0.015456460192799568	7.481061844825745	16.912971	16.911484	0.0	0.0	8676	17352	-0.7850984782998973	-0.9926448766038657	0.9984616579899368	1.4786947387053593	0.6731180028827867	0.001197090429727914	0.9999998207808222
180004	224	5116.493841409683	-149.9110826320505	-173.99684198023976	140.59089367299907	-0.015136467309218221	-310.83855923894697	-686.1293	-686.80304	21.381138067245484	20.75553874015808	677.1127648925781	108334.875	108868.86	0.0	0.0	88752	177505	-7.533741	-7.531185	0.010970978331752122	0.01380322884535417	7.6027093553543095	9.14656	9.172367	0.0	0.0	8876	17753	-1.084565034177617	-0.025385372055911404	-0.17426210755335825	0.5539847631251438	-0.6938419382437714	0.9505261472243199	0.26843640184147105
185011	231	5269.816264867783	-192.68212629500735	-194.53230724407774	94.39953713474915	-0.05905231358898392	-327.2396895578667	-699.2078	-698.069	18.69934935569763	18.278728880882262	684.2250524902344	138310.25	137859.66	0.0	0.0	91256	182512	-7.9115133	-7.915585	0.015863608559593557	0.012953506305348129	7.676723022460937	13.973186	13.756128	0.0	0.0	9127	18254	0.1603147581904758	0.14052483932416138	0.4656389769646707	1.3892690083068266	-0.6550591405161167	0.01015868864455225	0.999984737204646
